Id,StoreId,ManagementLevel,Salary
1,1,30,41261
2,1,28,37388
3,1,27,26925
4,1,26,4967
5,1,25,44689
6,1,25,27967
7,1,23,3422
8,1,22,19128
9,1,21,32216
10,1,20,47995
11,1,20,1992
12,1,18,22344
13,1,17,23646
14,1,16,46189
15,1,15,41496
16,1,15,12161
17,1,13,45419
18,1,12,32854
19,1,11,32828
20,1,10,1652
21,1,10,7453
22,1,8,9378
23,1,7,24826
24,1,6,2871
25,1,5,47692
26,1,5,11271
27,1,3,3824
28,1,2,18494
29,1,1,6417
30,1,1,17978
31,1,2,41492
32,1,1,13647
33,1,1,6854
34,1,1,21924
35,1,1,33727
36,1,2,33917
37,1,1,35331
38,1,1,22676
39,1,1,39446
40,1,1,13325
41,1,2,15252
42,1,1,43741
43,1,1,27346
44,1,1,1671
45,1,1,13999
46,1,2,34638
47,1,1,36672
48,1,1,17174
49,1,1,12951
50,1,1,7623
51,1,2,25752
52,1,1,32488
53,1,1,31615
54,1,1,39758
55,1,1,44947
56,1,2,23786
57,1,1,41632
58,1,1,28676
59,1,1,44763
60,1,1,5886
61,1,2,23467
62,1,1,3221
63,1,1,17234
64,1,1,49772
65,1,1,19411
66,1,2,6746
67,1,1,25797
68,1,1,41358
69,1,1,27754
70,1,1,49132
71,1,2,48986
72,1,1,44476
73,1,1,17349
74,1,1,7464
75,1,1,31336
76,1,2,19585
77,1,1,31231
78,1,1,38742
79,1,1,16111
80,1,1,25818
81,1,2,31795
82,1,1,37541
83,1,1,38387
84,1,1,23726
85,1,1,13812
86,1,2,12929
87,1,1,19582
88,1,1,41416
89,1,1,26735
90,1,1,32589
91,1,2,36999
92,1,1,44188
93,1,1,11192
94,1,1,15192
95,1,1,29948
96,1,2,4583
97,1,1,26276
98,1,1,5931
99,1,1,31635
100,1,1,3146
101,1,2,14879
102,1,1,27551
103,1,1,17364
104,1,1,23978
105,1,1,13788
106,1,2,8115
107,1,1,12182
108,1,1,46185
109,1,1,26887
110,1,1,49287
111,1,2,49471
112,1,1,12716
113,1,1,29585
114,1,1,32662
115,1,1,46321
116,1,2,36782
117,1,1,46998
118,1,1,34845
119,1,1,4982
120,1,1,32319
121,1,2,35617
122,1,1,8732
123,1,1,21664
124,1,1,34959
125,1,1,31364
126,1,2,21636
127,1,1,27518
128,1,1,13341
129,1,1,5117
130,1,1,1297
131,1,2,49366
132,1,1,41557
133,1,1,19555
134,1,1,18323
135,1,1,45354
136,1,2,8945
137,1,1,11192
138,1,1,17951
139,1,1,25522
140,1,1,6496
141,1,2,19333
142,1,1,24836
143,2,18,17373
144,2,16,46479
145,2,15,18952
146,2,14,2346
147,2,13,17363
148,2,12,17966
149,2,11,37722
150,2,10,29551
151,2,9,16639
152,2,8,22527
153,2,7,9322
154,2,6,5528
155,2,5,17685
156,2,5,37415
157,2,3,46622
158,2,2,2958
159,2,1,4544
160,2,1,2126
161,2,1,41678
162,2,1,1859
163,2,1,26855
164,2,1,26448
165,2,1,28312
166,2,1,39484
167,2,1,6388
168,2,1,44128
169,2,2,34962
170,2,1,47772
171,2,1,14759
172,2,1,21699
173,2,1,14118
174,2,1,49337
175,2,1,5575
176,2,1,23897
177,2,1,44859
178,2,1,16364
179,2,1,49339
180,2,1,2136
181,2,1,1697
182,2,2,46752
183,2,1,36799
184,2,1,22952
185,2,1,42775
186,2,1,15285
187,2,1,19247
188,2,1,11472
189,2,1,25657
190,2,1,16671
191,2,1,28648
192,2,1,42119
193,2,1,23253
194,2,1,35481
195,2,2,19859
196,2,1,44837
197,2,1,21491
198,2,1,15379
199,2,1,46637
200,2,1,36473
201,2,1,29297
202,2,1,23928
203,2,1,18212
204,2,1,18885
205,2,1,6583
206,2,1,49767
207,2,1,24438
208,2,2,3311
209,2,1,3663
210,2,1,17895
211,2,1,38177
212,2,1,6834
213,2,1,7119
214,2,1,15836
215,2,1,1591
216,2,1,29135
