Id,StoreId,NetProfit,StockSize
1,1,2,45
2,1,64,14
3,1,7316,31
4,1,5627,24
5,1,5863,24
6,1,56,19
7,1,13,18
8,1,453,35
9,1,523,28
10,1,79,44
11,1,46,15
12,1,328,40
13,1,2,23
14,1,7538,24
15,1,268,14
16,1,3,17
17,1,358,23
18,1,98,48
19,1,2,45
20,1,139,36
21,1,58,16
22,1,234,17
23,1,1,50
24,1,35,35
25,1,6,38
26,1,94,18
27,1,172,9
28,1,3129,43
29,1,726,46
30,1,54,31
31,1,3561,44
32,1,3,50
33,1,14,24
34,1,25,21
35,1,719,49
36,1,4,50
37,1,935,9
38,1,79,11
39,1,192,44
40,1,94,34
41,1,13,26
42,1,78,43
43,1,91,31
44,1,1,21
45,1,7,45
46,1,3289,48
47,1,8145,20
48,1,6,18
49,1,296,12
50,1,8237,5
51,1,24,45
52,1,591,27
53,1,47,33
54,1,281,34
55,1,14,40
56,1,142,40
57,1,2,17
58,1,87,32
59,1,71,35
60,1,753,44
61,1,41,50
62,1,8,47
63,1,89,42
64,1,25,38
65,1,5,30
66,1,59,21
67,1,29,32
68,1,38,41
69,1,62,35
70,1,2,34
71,1,758,20
72,1,9784,22
73,1,6513,36
74,1,472,49
75,1,58,38
76,1,97,19
77,1,1,6
78,1,184,33
79,1,23,5
80,1,59,25
81,1,943,12
82,1,51,47
83,1,52,10
84,1,93,9
85,1,24,36
86,1,9,30
87,1,459,43
88,1,2,33
89,1,972,34
90,1,7,8
91,1,316,46
92,1,9,9
93,1,78,38
94,1,491,27
95,1,71,41
96,1,1753,11
97,1,948,15
98,1,7659,42
99,1,85,10
100,1,68,23
101,1,61,27
102,1,8625,48
103,1,831,36
104,1,19,50
105,1,621,45
106,1,61,24
107,1,51,35
108,1,28,34
109,1,134,16
110,1,27,18
111,1,59,26
112,1,21,36
113,1,576,50
114,1,7,36
115,1,1,28
116,1,16,7
117,1,24,22
118,1,3476,42
119,1,35,24
120,1,34,29
121,1,9163,46
122,1,2,24
123,1,17,5
124,1,3,12
125,1,89,44
126,1,7,28
127,1,1,45
128,1,7,19
129,1,194,20
130,1,741,48
131,1,324,26
132,1,1423,19
133,1,8,9
134,1,84,9
135,1,28,17
136,1,3,13
137,1,34,39
138,1,427,36
139,1,924,28
140,1,728,7
141,1,895,31
142,1,2,28
143,1,68,26
144,1,4,18
145,1,35,20
146,1,37,8
147,1,691,49
148,1,74,15
149,1,13,33
150,1,381,14
151,1,7259,38
152,1,827,12
153,1,478,7
154,1,976,34
155,1,5,38
156,1,2368,24
157,1,85,6
158,1,67,15
159,1,682,49
160,1,49,35
